#Person location Sublocation StartTime EndTime Type
40062 5183 1 10010820 0 1
40015 977 1 8306340 0 1
40011 971 1 8687460 0 1
40017 5259 1 8396940 0 1
40054 986 1 9091920 0 1
40053 520 1 9689940 0 1
40052 4001 1 10299600 0 1
40052 979 1 10299960 0 1
40004 984 1 8964180 0 1
40004 996 1 8984640 0 1
40022 997 1 8874180 0 1
40000 5187 1 9084540 0 1
40045 1101 1 7890420 0 1
40045 1101 1 7896180 0 1
40000 974 1 9090000 0 1
40014 5252 1 8426160 0 1
40027 969 1 9406680 0 1
40024 978 1 10514280 0 1
40024 1111 1 10528680 0 1
40049 5182 1 9046380 0 1
40023 973 1 9862620 0 1
40016 939 1 9493020 0 1
40032 990 1 8147400 0 1
40053 520 1 9687060 0 1
40053 520 1 9692820 0 1
40022 968 1 8695620 0 1
40022 968 1 8699940 0 1
40022 993 1 8751780 0 1
40022 993 1 8794980 0 1
40022 997 1 8819460 0 1
40004 5034 1 8964120 0 1
40022 997 1 8846820 0 1
40022 997 1 8851140 0 1
40031 973 1 8444160 0 1
40008 982 1 8133900 0 1
40018 979 1 10140840 0 1
40039 969 1 10272540 0 1
40000 974 1 9107280 0 1
40034 878 1 8961660 0 1
40030 5182 1 8506860 0 1
40001 976 1 10254000 0 1
40001 976 1 10256880 0 1
40049 5024 1 9047520 0 1
40005 974 1 8123160 0 1
40015 5195 1 8303760 0 1
40006 976 1 8194560 0 1
40017 5050 1 8396940 0 1
40038 810 1 26425680 0 1
40032 968 1 8144220 0 1
40054 977 1 9074640 0 1
40007 985 1 8032860 0 1
40052 5034 1 10299720 0 1
40022 968 1 8707140 0 1
40022 993 1 8746020 0 1
40022 995 1 8813700 0 1
40045 1101 1 7893300 0 1
40008 978 1 8111100 0 1
40018 979 1 10138620 0 1
40018 1117 1 10148700 0 1
40000 974 1 9097200 0 1
40024 978 1 10498140 0 1
40030 968 1 8506860 0 1
40030 994 1 8509740 0 1
40020 512 1 9757020 0 1
40043 976 1 9829080 0 1
40016 1068 1 9501840 0 1
40059 982 1 9309360 0 1
40054 986 1 9094800 0 1
40053 1091 1 9665460 0 1
40052 5034 1 10299600 0 1
40021 4002 1 9436380 0 1
40021 970 1 9437160 0 1
40022 997 1 8823780 0 1
40022 997 1 8825220 0 1
40004 973 1 8961600 0 1
40022 522 1 8904420 0 1
40045 995 1 7900500 0 1
40027 1152 1 9409080 0 1
40030 5034 1 8513940 0 1
40013 508 1 10271760 0 1
40037 975 1 9608940 0 1
40011 971 1 8685120 0 1
40058 764 1 11837160 0 1
40044 5287 1 9542700 0 1
40044 983 1 9553320 0 1
40059 982 1 9308460 0 1
40054 977 1 9066000 0 1
40054 986 1 9087600 0 1
40007 969 1 8015940 0 1
40053 506 1 9682260 0 1
40052 1216 1 10306200 0 1
40022 968 1 8694180 0 1
40022 993 1 8758980 0 1
40022 995 1 8806500 0 1
40022 997 1 8828100 0 1
40022 997 1 8845380 0 1
40022 522 1 8900100 0 1
40022 522 1 8920800 0 1
40042 983 1 9577380 0 1
40061 878 1 9138840 0 1
40002 994 1 10200000 0 1
40035 1103 1 8583960 0 1
40013 975 1 10266420 0 1
40023 973 1 9853980 0 1
40017 5302 1 8396280 0 1
40017 981 1 8403180 0 1
40044 5118 1 9542700 0 1
40044 983 1 9549000 0 1
40029 1338 1 3743280 0 1
40032 5256 1 8141640 0 1
40052 979 1 10301340 0 1
40022 968 1 8696760 0 1
40022 993 1 8769060 0 1
40022 995 1 8799300 0 1
40004 996 1 8980320 0 1
40022 522 1 8913060 0 1
40045 970 1 7885920 0 1
40008 5302 1 8110980 0 1
40033 5186 1 10090980 0 1
40039 969 1 10274880 0 1
40000 974 1 9112620 0 1
40034 977 1 8959680 0 1
40024 1111 1 10525800 0 1
40057 975 1 9196380 0 1
40013 5027 1 10259940 0 1
40049 5182 1 9046680 0 1
40049 5024 1 9047460 0 1
40038 5122 1 26415600 0 1
40056 5303 1 10154460 0 1
40048 1237 1 18949260 0 1
40003 1014 1 20518200 0 1
40053 520 1 9685620 0 1
40022 968 1 8702820 0 1
40022 993 1 8793540 0 1
40022 995 1 8814840 0 1
40022 997 1 8826660 0 1
40022 522 1 8889300 0 1
40060 981 1 9079560 0 1
40039 969 1 10271100 0 1
40000 974 1 9095760 0 1
40035 972 1 8565240 0 1
40030 994 1 8513760 0 1
40013 5049 1 10260060 0 1
40043 5116 1 9820320 0 1
40017 5259 1 8396820 0 1
40044 5034 1 9545460 0 1
40059 5035 1 9303900 0 1
40059 979 1 9307020 0 1
40054 977 1 9064560 0 1
40022 976 1 8745720 0 1
40022 993 1 8773380 0 1
40022 993 1 8786340 0 1
40022 995 1 8800740 0 1
